	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187113	144568	5740.0	312466.0	885284.0	51838.0
SRZ187114	223406	20210.0	132406.0	611016.0	146498.0
SRZ187115	129074	21770.0	172620.0	466356.0	35686.0
SRZ187116	44390	10436.0	216364.0	898128.0	247354.0
SRZ187117	282886	4344.0	189714.0	481170.0	223062.0
SRZ187118	120014	12334.0	196476.0	609418.0	29684.0
SRZ187119	144424	14084.0	133890.0	499338.0	126674.0
SRZ187120	124882	20298.0	17476.0	169274.0	49958.0
SRZ187121	97692	28880.0	56776.0	407250.0	121436.0
SRZ187122	129186	23486.0	147606.0	370226.0	684618.0
SRZ187123	408500	84856.0	558080.0	1313200.0	244042.0
SRZ187124	240490	14556.0	612678.0	1291578.0	28564.0
SRZ187125	112600	20336.0	263370.0	938214.0	346200.0
SRZ187126	76462	31730.0	66546.0	334902.0	47094.0
SRZ187127	62962	964.0	91020.0	273490.0	8546.0
SRZ187128	3976	3166.0	32868.0	77352.0	190300.0
SRZ187129	23130	8470.0	51590.0	239410.0	378930.0
SRZ187130	174592	51572.0	194546.0	476238.0	193442.0
SRZ187131	119088	13898.0	193250.0	531000.0	271350.0
SRZ187132	69470	10436.0	39742.0	162490.0	83754.0
SRZ187133	70994	6056.0	142490.0	421694.0	67902.0
SRZ187134	117378	14070.0	179152.0	435356.0	274068.0
SRZ187135	220206	42620.0	194454.0	420024.0	297464.0
SRZ187136	195928	15746.0	236168.0	609634.0	321202.0
SRZ187137	54752	9240.0	101582.0	270834.0	511514.0
SRZ187138	249144	74360.0	195822.0	495848.0	224822.0
SRZ187139	74256	4388.0	159134.0	480318.0	90724.0
SRZ187140	702272	32530.0	1585962.0	3058298.0	427628.0
SRZ187141	83542	13192.0	28848.0	160122.0	72156.0
SRZ187142	130300	9920.0	206454.0	697864.0	38890.0
SRZ187143	89006	5626.0	217692.0	347728.0	68682.0
SRZ187144	184418	32010.0	61988.0	191176.0	185264.0
SRZ187145	386784	7480.0	1057610.0	3412524.0	70016.0
SRZ187146	443162	27760.0	285936.0	700044.0	158652.0
SRZ187147	118448	43812.0	105526.0	376270.0	119122.0
SRZ187148	165894	13652.0	273406.0	782630.0	66538.0
SRZ187149	46984	7522.0	52652.0	169340.0	47322.0
SRZ187150	214660	56090.0	143934.0	321086.0	256984.0
SRZ187151	370834	29788.0	569324.0	1129628.0	323972.0
SRZ187152	397292	27980.0	550788.0	1115090.0	370296.0
SRZ187153	494890	72912.0	348430.0	673904.0	666764.0
SRZ187154	182258	45830.0	222510.0	735504.0	224012.0
SRZ187155	384854	52682.0	472808.0	1472104.0	410868.0
SRZ187156	605392	78284.0	548096.0	1790222.0	406206.0
SRZ187157	180758	14944.0	471080.0	1175242.0	127562.0
SRZ187158	120354	3926.0	175746.0	384888.0	117846.0
SRZ187159	203716	29882.0	190076.0	299362.0	234994.0
SRZ187160	64856	5620.0	113448.0	247412.0	21346.0
SRZ187161	280412	61514.0	497428.0	1552236.0	177230.0
SRZ187162	121284	29174.0	214592.0	516248.0	94902.0
SRZ187163	50244	42878.0	114678.0	267602.0	40408.0
SRZ187164	196786	51558.0	146994.0	471308.0	162686.0
SRZ187165	261196	51088.0	271556.0	593718.0	330264.0
SRZ187166	614650	13246.0	972446.0	2778758.0	26420.0
SRZ187167	408010	19724.0	814456.0	1796198.0	2562018.0
SRZ187168	267994	47904.0	372758.0	843970.0	367858.0
SRZ187169	518602	39638.0	1106430.0	3271458.0	35496.0
SRZ187170	135108	45248.0	270016.0	492020.0	355834.0
SRZ187171	167674	56072.0	379098.0	558266.0	223206.0
SRZ187172	289332	139378.0	476716.0	1427622.0	336222.0
SRZ187173	355560	25406.0	536580.0	1543674.0	465184.0
SRZ187174	446990	144874.0	260666.0	622852.0	353702.0
SRZ187175	172534	5412.0	314916.0	762210.0	21294.0
SRZ187176	134002	33298.0	371650.0	826282.0	1763224.0
SRZ187177	307894	57470.0	282936.0	608844.0	304746.0
SRZ187178	206176	7726.0	218630.0	623886.0	60078.0
SRZ187179	117908	30648.0	646604.0	1421396.0	755432.0
SRZ187180	159106	40070.0	178590.0	362786.0	192922.0
SRZ187181	120372	12822.0	210274.0	570580.0	153274.0
SRZ187182	239370	24394.0	321312.0	1089028.0	715808.0
SRZ187183	266154	62154.0	380696.0	633964.0	313636.0
SRZ187184	305150	4232.0	662904.0	2317852.0	22810.0
SRZ187185	121910	67362.0	261292.0	595182.0	250750.0
SRZ187186	128516	46310.0	231038.0	489020.0	226542.0
SRZ187187	95490	18630.0	266902.0	843826.0	102818.0
SRZ187188	376324	117490.0	321980.0	889614.0	473028.0
SRZ187189	207112	49340.0	175864.0	437296.0	170922.0
SRZ187190	183274	14930.0	347840.0	1009888.0	86106.0
SRZ187191	129428	27194.0	487162.0	1098660.0	1059552.0
SRZ187192	74016	8030.0	22138.0	69422.0	91876.0
SRZ187193	226330	6724.0	537170.0	1840310.0	12564.0
SRZ187194	167910	25816.0	300170.0	768178.0	179522.0
