	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187240	2793453	630262	3681171	4073370	3065901
SRZ187241	674697	490426	957505	1256015	1273918
SRZ187242	627319	370743	1091263	1487977	1085960
SRZ187243	1125714	406800	3254628	6051822	1453915
SRZ187244	1355643	407356	1643808	2968772	3212920
SRZ187245	1390778	546907	2311221	3152525	4900183
SRZ187246	1204034	955035	2213935	7360820	4644821
SRZ187247	611145	453597	1223468	1736652	1473403
SRZ187248	813017	758521	1311771	1909448	3813356
SRZ187249	1094638	554336	1940739	2896974	4070771
SRZ187250	616209	233986	1145270	1517730	2328543
SRZ187251	3186937	674090	4037482	5913183	2277525
SRZ187252	640059	123961	936866	1416022	460740
SRZ187253	706114	463358	923671	900760	1248002
SRZ187254	1418703	409475	949848	1047531	837010
SRZ187255	834549	622964	2030651	2396216	1184261
SRZ187256	699287	547151	1623934	1954213	949510
SRZ187257	907971	684843	2224646	2355288	1174822
SRZ187258	1893918	448744	2942795	4435908	838262
SRZ187259	1031575	263333	2139808	2708610	532637
SRZ187260	2408732	1318581	3209876	4810540	1329084
SRZ187261	1122697	363067	1709353	2819639	4076208
SRZ187262	992124	735666	2360965	3411740	1477507
SRZ187263	782119	706178	2777149	3826195	1683741
SRZ187264	641072	430435	2059184	3074387	1304215
SRZ187265	276810	53432	737937	753095	141809
SRZ187266	83087	55328	407158	257742	106380
SRZ187267	66615	78370	48983	55214	101954
SRZ187268	298700	231852	344839	376823	510012
SRZ187269	1070511	614621	1748592	2386745	1610722
SRZ187270	664525	336537	1565345	1449949	1079100
SRZ187271	684862	418704	2184348	2179409	1177950
SRZ187272	877221	364730	2530409	2434397	1464073
SRZ187273	1007747	359432	1701376	2345047	1612248
SRZ187274	431602	124838	714890	696053	1615848
SRZ187275	405908	195785	992845	2094864	2053069
SRZ187276	1172813	715041	2165160	2863354	2054636
SRZ187277	1592867	736921	2592085	4109555	1606931
SRZ187278	994190	700198	3051516	4891334	2026094
SRZ187279	805109	317212	2387631	3746424	1512545
SRZ187280	620771	265369	2458415	3731317	919199
SRZ187281	401054	274692	2664473	3150473	807947
SRZ187282	883165	497568	4282028	8358796	1062238
SRZ187283	1861243	446102	2873182	3833829	812878
SRZ187284	2055392	393794	3856871	4557300	1066762
SRZ187285	1177996	266556	2153857	2459243	1703168
SRZ187286	370947	142705	337850	515345	293370
SRZ187287	590668	394515	727056	1179750	1479078
SRZ187288	498423	278333	725365	806669	640070
SRZ187289	822830	583476	1456244	1533804	962565
SRZ187290	214593	249846	639392	591236	207063
SRZ187291	2590491	443502	3544657	6330339	910460
SRZ187292	1484526	328401	2259347	4649004	568507
SRZ187293	604693	152728	1153755	2115810	1953737
SRZ187294	883258	334079	2057097	3063877	2897109
SRZ187295	788842	459562	1214148	1668686	2088275
SRZ187296	1548841	964400	3499476	5346833	2599797
SRZ187297	889135	717173	2754429	3684046	1836930
SRZ187298	1203346	808270	3547760	5530536	2000918
SRZ187299	946316	266170	1192425	1217463	1180528
SRZ187300	768927	369972	802783	1250302	1656043
SRZ187301	388236	285798	993971	701083	2291182
SRZ187302	843224	652642	2269128	3432987	1147351
SRZ187303	432407	400135	1521699	2294444	606521
SRZ187304	607629	535849	2874225	4770135	1004043
SRZ187305	686319	494578	4285132	5008642	1183202
SRZ187306	2409276	534732	4062600	7976123	771952
SRZ187307	905670	269156	1761046	2620938	1852293
SRZ187308	1145973	307057	1774335	2299546	1063877
SRZ187309	526071	217072	1066001	1831705	1564524
SRZ187310	568259	237027	1107787	2007515	1354290
SRZ187311	916762	538480	1821622	2891585	1398774
SRZ187312	750563	541248	2294126	3725179	1255043
SRZ187313	787843	485324	2379341	4213899	1189137
SRZ187314	1448908	559524	1750074	3346787	2414610
SRZ187315	620222	237609	490282	777940	453177
SRZ187316	405758	187507	705992	814700	505595
